,Alert,Coordinates,CDI,Code,Detail,Depth,Magnitude,Waveform,ID,Felt,Gap,MMI,Net,NST,RMS,Place,Sig,Sources,Status,Time,Title,Tsunami,Type,TZ,Updated,URL
0,,"[-116.7873333, 33.4975, 4.85]",,38214639,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214639&format=geojson,0.01839,0.52,ml,",ci38214639,",,51.0,,ci,22.0,0.1,"9km NE of Aguanga, CA",4,",ci,",reviewed,1548979193580,"M 0.5 - 9km NE of Aguanga, CA",0,earthquake,-480.0,1548984421385,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214639
1,,"[-151.2266, 59.5035, 9.2]",,0191fno7bz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fno7bz&format=geojson,,1.3,ml,",ak0191fno7bz,",,,,ak,,0.34,"23km SE of Homer, Alaska",26,",ak,",reviewed,1548978836278,"M 1.3 - 23km SE of Homer, Alaska",0,earthquake,-540.0,1550269786393,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fno7bz
2,,"[-116.7985, 33.5145, 4.66]",,38214631,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214631&format=geojson,0.002627,0.4,ml,",ci38214631,",,45.0,,ci,24.0,0.12,"10km NE of Aguanga, CA",2,",ci,",reviewed,1548978027530,"M 0.4 - 10km NE of Aguanga, CA",0,earthquake,-480.0,1548985058097,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214631
3,,"[-149.9996, 61.4453, 44]",,0191fnkjco,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fnkjco&format=geojson,,1.5,ml,",ak0191fnkjco,",,,,ak,,0.42,"8km SSW of Big Lake, Alaska",35,",ak,",reviewed,1548977803817,"M 1.5 - 8km SSW of Big Lake, Alaska",0,earthquake,-540.0,1550269785752,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fnkjco
4,,"[-116.4726667, 33.506, 13.71]",,38214615,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214615&format=geojson,0.0429,0.69,ml,",ci38214615,",,97.0,,ci,21.0,0.19,"19km ESE of Anza, CA",7,",ci,",reviewed,1548977634820,"M 0.7 - 19km ESE of Anza, CA",0,earthquake,-480.0,1549032343397,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214615
5,,"[-122.8138333, 38.8066667, 3.25]",,73138701,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73138701&format=geojson,0.01219,0.0,md,",nc73138701,",,78.0,,nc,23.0,0.04,"6km WNW of The Geysers, CA",0,",nc,",reviewed,1548977612080,"M 0.0 - 6km WNW of The Geysers, CA",0,earthquake,-480.0,1549910164201,https://earthquake.usgs.gov/earthquakes/eventpage/nc73138701
6,,"[-149.9726, 61.4733, 44.7]",,0191fnftsr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fnftsr&format=geojson,,1.0,ml,",ak0191fnftsr,",,,,ak,,0.36,"5km S of Big Lake, Alaska",15,",ak,",reviewed,1548976485762,"M 1.0 - 5km S of Big Lake, Alaska",0,earthquake,-540.0,1550269785067,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fnftsr
7,,"[-66.9366, 17.9583, 13]",,2019031031,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019031031&format=geojson,0.1082,1.65,md,",pr2019031031,",,253.0,,pr,3.0,0.45,"3km WSW of Guanica, Puerto Rico",42,",pr,",reviewed,1548976376240,"M 1.7 - 3km WSW of Guanica, Puerto Rico",0,earthquake,-240.0,1548995024997,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019031031
8,,"[-111.877, 45.5713333, 2.27]",2.0,80334474,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80334474&format=geojson,0.176,1.7,ml,",mb80334474,",1.0,57.0,,mb,13.0,0.09,"31km N of Virginia City, Montana",45,",mb,",reviewed,1548975906450,"M 1.7 - 31km N of Virginia City, Montana",0,earthquake,-420.0,1549001174917,https://earthquake.usgs.gov/earthquakes/eventpage/mb80334474
9,,"[-67.8165, 19.3071, 77]",,2019031030,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019031030&format=geojson,1.4804,2.97,md,",pr2019031030,us2000jbmb,",,259.0,,pr,3.0,0.16,"71km NE of Punta Cana, Dominican Republic",136,",pr,us,",reviewed,1548975336400,"M 3.0 - 71km NE of Punta Cana, Dominican Republic",0,earthquake,-300.0,1555614555040,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019031030
